humillar
avergonzar
abandonar
soportar
abreviar
abdicar
abolir
raspar
aborrecer
abordar
abortar
aborrecer
abundar
absolver
absorber
abstenerse
abusar
aceptar
aclamar
aclimatarse
acompañar
acumular
acusar
familiarisarse
actuar
activar
adaptar
"sumar,añadir"
dirigir
juzgar
ajustar
administrar
admirar
admitir
adoptar
adorar
adornar
adular
adulterar
anunciar
aconsejar
afectar
costear
agravar
acordar
apuntar
alarmar
permitir
mezclar
aludir
alterar
altercar
alternar
amortizar
amputar
entretener
analizar
animar
anunciar
fastidiar
constestar
anteceder
anticipar
disculparse
aterrar
apelar
aparecer
aplaudir
aplicar
tasar/valorar
agradecer
acercarse
aprobar
discutir
armarse
arribar
arreglar
arrestar/detener
arrivar/llegar
articular
ascender
atribuir
preguntar
aspirar
asaltar
asistir
asociar
clasificar
asumir
asegurar
asombrar
asombrar
pegar/adherir
atacar
intentar
atenuar
atestiguar
atraer
atribuir
subastar
augurar
evitar
esperar
despertar
premiar
soportar
levantarse 
empacar
pintar
palidecer
perder su encanto
mimar/consentir
aterrar
acariciar (animal)
lanzarse(paracaidas)
perdonar
pelar (frutas)
estacionar
parar (golpe)
participar
remendar
pausar
pavimentar
pagar
picotear
empeñar (objeto)
pedalear
orinar
pelar
irritar
realizar/actuar
perfumar
persuadir
pervertir
llamar por tlf.
fotocopiar
escoger
escabechar/encurtir
imaginar/pintar
amontonar/apilar
pilotear
pellizcar/pinchar
lanzar/tirar
orinar/mear
colocar
planear
planear en un avion
plantar (planta)
chapotear
jugar/tocar(piano)
declarar (derecho)
complacer
envenenar
sacar brillo
contaminar
tramar
desplumar
taponear
enchufar
saquear
envenenar
sacar brillo
contaminar
posar
poseer
vertir/echar
anunciar/enviar
elogiar/alabar
rezar/suplicar
preceder
predecir
poner un prologo
preferir
recalentar
preparar
pagar adelantado
presagiar
prescribir
presidir
apretar
pretender
prevalecer
prevenir
proseguir
procesar
dilatar
procrear
producir
profanar
prohibir
progresar
projectar
prolongar
pasear
prometer
ascender de
promulgar
pronunciar
propagar
proponer
proteger
protestar
comprobar
suministrar
rondar
curiosar
halar
pulsar
bombear
dar puñetazos
puntualizar
comprar
empujar
dejar perplejo
pagar
poner 
ensillar
salvar
explorar
programar
despreciar
hacer garabatos
rasguñar
gritar
rasparse/raer
arañar/raspar
atornillar
sellar
sentarse
recluir/aislar
seducir
granar
parecer
filtrarse
segregar
agarrar
seleccionar
sensibilizar
sentenciar
separar
servir
establecerse
modelar/idear
compartir/partir
afilar/aguzar
hacer añicos
cubrir con sabana
ocultarse
arrinconar
esconder/amparar
transferir/cambiar
brillar/relucir
embarcar
temblar(frio)
sobresaltar
gritar
empujar
palear con pala
mostrar/enseñar
encogerse de hombros
barajar/mezclar
suspirar
firmar
hacer una señal
pecar
localizar/situar
patinar
esbozar(bosquejo)
esquiar
patinar
descremar
escatimar
pelar/despellejar
omitir/saltar
tirar(door)golpear
abofetear
acuchillar
resbalar
ir cabizbajo
ir despacio
aporrear/triturar
contrabandear
sonar(dedos)cerrar
andar sigilosamente
estornudar
olfatear
lloriquear
nevar
soldar
resolver
sonar
escabechar
dar nalgadas(azote)
echar chispa
castrar(hembra)
especular
condimentar/sazonar
salir a chorro
irritar
salpicar(liquido)
empalmar/unir
torcerse
estirar brazos
rociar
esparcir/rociar
retoñar/germinar
poner espuelas
menospreciar
espiar
cuadrar/ajustar
exprimir
retorcerse
salir a chorro
estabilizar
apilar/amontonar
dotar de personal
poner en esena
manchar/teñir
poner estampilla
almidonar
mirar fijamente
empezar/comenzar
morir de hambre
declarar/expresar
situar/colocar
quedarse
humear vapor
remojar
estofar/guisar
coser(de sutura)
empedrar/apedrear
parar/detener
almacenar
tensar/estirar
estrangular
