acelga
ajo
alcachofa
alcaparra
almendras
apio
betabel
brócoli
cacahuates
calabaza
caña
castañas
cebolla
champiñón
chayote
chícharos
chile fresco
chiles
chiles gueros
col
coliflor
elote
espinacas
frijoles
jícama
jitomate
lechuga
lima
limón
nopal
nopalitos
papa
pepino
pimiento
rábano
romeritos
tejocote
tomate
verdolaga
zanahoria
chile
chile seco
frijol
garbanza
haba
lenteja
