acelga
aguacate
ajo
alcachofa
alcaparra
almendras
apio
avellana
betabel
brócoli
cacahuates
calabaza
caña
castañas
cebolla
champiñón
chayote
chícharos
chile fresco
chiles
chiles gueros
ciruela
ciruela pasa
col
coliflor
dátil
durazno
ejote
elote
espinacas
fresa
frijoles
frutas cubiertas
granada
guanábana
guayaba
jamaica
jícama
jitomate
kiwi
lechuga
lima
limón
mamey
mandarina
mango
manzana
melón
naranja
nopal
nopalitos
nuez
orejón
papa
papaya
pasa (uva pasa)
pepino
pera
pimiento
piña
plátano
rábano
romeritos
sandía
tamarindo
tejocote
tomate
toronja
tuna
uva
verdolaga
zanahoria
chile
chile seco
frijol
garbanza
haba
lenteja
aceitunas negras
aceitunas verdes
albaricoque
almendras
avellanas
briñones
cacahuetes
castañas
cerezas
ciruela
clementinas
compota de manzana
frambuesas
fresas
higos
higos secos
kiwi
limón
mandarinas
manzana
melocotón
melón
naranja
pasas
pera
piña en conserva
piña fresca
pistachos
plátano
pomelo
sandía
uva
icaco
