acrobacia
acuatlón
aeróbic
aikido
ajedrez
alpinismo 
baloncesto
balonmán
billar
billarda
birlos
bobsleigh
bodyboard
boxeo
bádminton 
ciclismo
colombofilia
corfebol
críquet
cróquet
cuadratlón
curling 
danza deportiva
dardos
fútbol
fútbol playa
fútbol sala
golf 
gimnasia 
gimnasia rítmica 
hípico
hóckey a patíns 
hóckey sobre hierba 
hóckey sobre hielo 
hóckey 
hurling 
judo 
karate 
kendo 
kickboxing 
karting 
kung fu 
lacrosse 
lucha 
lucha tradicional gallega 
luciadas extremas 
motociclismo 
motonáutica 
mhuai thay 
natación
octopush 
orientación
paracaidismo 
parapente 
parkour 
patinaxe 
paintball 
pelota 
pelota valenciana 
pelota vasca 
pentatlón moderno 
pesca deportiva 
petanca 
piragüismo 
polo 
remo 
rugby 
salto de trampolín 
sendeirismo 
softbol 
shinty 
skateboard 
skeleton 
snowboard 
speedball 
squash 
sumo 
superbikes 
surf 
tenis 
tenis de mesa 
tiro 
tiro con arco 
triatlón 
taekwondo
ultralijeros
vela 
voleibol 
volei playa 
valetodo 
waterpolo 
windsurf 
wushu 
win tsun 
esgrima 
espeleoloxía 
esquí 
equitación 
